cip13,lib_cip13,remboursement_total,rang,remboursement_cumule,part_cumulee
3400936753365,METFORMINE SUN 850MG CPR 30,451.34999999999997,11884,22682211699.58,99.99943042995157
3400937905633,NISIS 40MG CPR 30,450.68,11885,22682212150.26,99.9994324168717
3400949003679,"TADENAN 50 MG 1 BOITE DE 60, CAPSULES MOLLES",449.75,11886,22682212600.01,99.99943439969174
3400949000579,PERMIXON 160 MG GELULE (AIP MWI BG) 180,449.63,11887,22682213049.64,99.99943638198273
3400937677073,CARVEDILOL ZEN 25MG CPR 28,449.17,11888,22682213498.81,99.99943836224571
3400936226999,EZETROL 10MG CPR 28,448.86,11889,22682213947.67,99.99944034114199
3400949506323,UROREC 4 MG GELULE (ADP) (IR) MWI 30,446.46000000000004,11890,22682214394.13,99.99944230945736
3400930111352,ROSUVASTATINE KRK 10MG CPR 90,439.8,11891,22682214833.93,99.99944424841067
3400930151402,MOMETASONE CRT 50 MICROG SUSP NAS120 1,439.63,11892,22682215273.56,99.9994461866145
3400949004461,"NATRIXAM 1,5 MG/10 MG CPR LM (AIP) 90",438.7,11893,22682215712.26,99.99944812071821
3400922094830,VALSARTAN ZYD 40 MG CPR 90,438.59000000000003,11894,22682216150.85,99.99945005433698
3400935531131,"FEMSEPTCOMBI 0,05MG/0,01MG/24H DISP 4",437.18,11895,22682216588.03,99.99945198173947
3400949000890,PERMIXON 160MG GELULE (AIP BBF SRL) 60,431.53999999999996,11896,22682217019.57,99.99945388427678
3400930008737,PANTOPRAZOLE ACC 40 MG PDR INJ 1,425.69,11897,22682217445.26,99.9994557610231
3400933730840,FRAGMINE 10 000UI AXA/1ML SOL INJ 2,422.16,11898,22682217867.42,99.99945762220666
3400939468297,SIMVASTATINE ZYF 20MG CPR 30,420.09,11899,22682218287.51,99.99945947426419
3400927389801,CAPECITABINE ACC 150 MG CPR 60,419.9,11900,22682218707.41,99.99946132548405
3400927626654,CAPECITABINE BGA 150 MG CPR 60,419.9,11901,22682219127.31,99.99946317670393
3400935599377,SPANOR 100MG CPR 30,419.71000000000004,11902,22682219547.02,99.99946502708613
3400930084779,IVABRADINE TVS 5 MG CPR 56,418.78,11903,22682219965.8,99.99946687336822
3400930045350,TRAMADOL/PARACETAMOL BGA CPR 20,418.77,11904,22682220384.57,99.99946871960624
3400949511235,UROREC 4MG GELULE (ADP) (BBA) 30,418.03999999999996,11905,22682220802.61,99.99947056262589
3400935200426,VISIPAQUE 320MG/ML SOL INJ FP 1,417.8,11906,22682221220.41,99.99947240458745
3400930080528,"BISOPROLOL QUIVER LAB 3,75 MG, CPR 30",417.33000000000004,11907,22682221637.74,99.99947424447693
3400930040461,PREGABALINE ARL 100 MG GELULE 84,415.12,11908,22682222052.86,99.99947607462312
3400933943301,LUTERAN 10MG CPR 12,411.51,11909,22682222464.37,99.99947788885385
3400932989164,CLARITYNE 10MG CPR 15,409.95,11910,22682222874.32,99.99947969620699
3400927891960,CELECOXIB MYP 200MG GELULE 30,409.68,11911,22682223284,99.99948150236978
3400921852165,RABEPRAZOLE ZYD 10MG CPR 14,409.43,11912,22682223693.43,99.99948330743038
3400930219669,"PROHANCE 4748,1MG SOL INJ SER NEC 2 1",409.03,11913,22682224102.46,99.99948511072749
3400930046760,GLICLAZIDE MYP LM 60MG CPR 30,408.73,11914,22682224511.19,99.999486912702
3400933603830,ORELOX 40MG/5ML GRANULES 50ML 1,404.97,11915,22682224916.16,99.99948869809974
3400938626476,PERINDOPRIL ARW 8MG CPR 90,403.83,11916,22682225319.99,99.99949047847154
3400938619492,PERINDOPRIL ARW 2MG CPR 30,401.86,11917,22682225721.85,99.99949225015816
3400922135793,ATORVASTATINE ARW 20MG CPR 90,401.78000000000003,11918,22682226123.63,99.9994940214921
3400928099976,PREDNISOLONE TVC 5MG CPR 30,399.68,11919,22682226523.31,99.99949578356771
3400939462783,VALACICLOVIR CRT 500MG CPR 10,398.78999999999996,11920,22682226922.1,99.99949754171958
3400927428234,ESCITALOPRAM EVO 20MG CPR 28,395.61,11921,22682227317.71,99.99949928585173
3400949854936,"JEXT 0,15 MG SOL INJ STYLO 1",393.69,11922,22682227711.4,99.99950102151915
3400930669624,"METHERGIN 0,2 MG SOL INJ 3",391.63,11923,22682228103.03,99.9995027481046
3400930019283,PREGABALINE SDG 75 MG GELULE 56,390.37,11924,22682228493.4,99.99950446913509
3400949507214,PROCORALAN 5 MG CPR ADP PHL 56,388.9,11925,22682228882.3,99.99950618368474
3400938979305,TOPIRAMATE ARG 100MG CPR 30,388.56,11926,22682229270.86,99.99950789673547
3400939528304,OLANZAPINE ARG 10MG CPR DISP 28,388.15999999999997,11927,22682229659.02,99.99950960802268
3400930019306,PREGABALINE SDG 150 MG GELULE 56,387.66,11928,22682230046.68,99.99951131710553
3400930066386,LANSOPRAZOLE ARW 15 MG CPR OROD 28,386.95,11929,22682230433.63,99.9995130230582
3400949004201,"CARDENSIEL 2,5MG CPR (AIP) (DFM) 90",386.18,11930,22682230819.81,99.99951472561617
3400930185773,APREPITANT CRT 80 MG GELULE 2,385.84000000000003,11931,22682231205.65,99.99951642667516
