cip13,lib_cip13,remboursement_total,boites_delivrees,cout_moyen_boite
3400935157331,TOPREC 1MG/1ML ENF ET NR SIROP 1,36.34,28,1.297857142857143
3400930515648,"HYDROCORTANCYL 2,5% SUSP INJ 1",36.4,33,1.103030303030303
3400949815036,AMOROLFINE EG 5% VERNIS MED 1,36.720000000000006,11,3.338181818181819
3400927386329,TELMISARTAN ACT 40MG CPR 30,37.13,12,3.0941666666666667
3400937353052,"MOXONIDINE MYLAN 0,2 MG 1 BOITE DE 28, COMPRIMES P",37.28,13,2.867692307692308
3400922434223,"IRBESARTAN HCTZ ARG 300/12,5MG CPR 30",37.290000000000006,11,3.3900000000000006
3400934240195,"DELIDOSE 0,5MG/0,5G GEL 28",37.49,21,1.7852380952380953
3400937614610,AMOXICILLINE ALM 1G CPR DISP S 6,37.61,28,1.3432142857142857
3400939467757,SIMVASTATINE ZYF 10MG CPR 30,37.65,14,2.689285714285714
3400941919138,VALSARTAN ARG 160MG CPR 30,38.08,12,3.1733333333333333
3400931499558,"COLCHICINE HOUDE 1 MG 1 BOITE DE 20, COMPRIMES",38.18,21,1.818095238095238
3400930129685,AC TRANEXAMIQUE ACC 500 MG SOL INJ 5,38.82,17,2.283529411764706
3400949002320,FORTZAAR 100MG/25MG CPR (I) 28,39.15,12,3.2624999999999997
3400930068786,DOMPERIDONE ZEN 10MG CPR 20,39.23,73,0.5373972602739726
3400938282542,DICLOFENAC EG LABO 1 % FLACON PRESSURISE DE 100 ML,39.25,31,1.2661290322580645
3400938327298,FLUOXETINE LBR 20MG GELULE 14,39.32,21,1.8723809523809525
3400927387159,TELMISARTAN ACT 80MG CPR 30,39.43,12,3.285833333333333
3400939907475,VALSARTAN/HCTZ ARL 160/25MG CPR 30,39.68,13,3.0523076923076924
3400937227223,ATENOLOL EVO 50MG CPR 30,40.04,15,2.6693333333333333
3400936285552,TUSSIDANE 3MG/ML SOL BUV FL 1,40.14,53,0.7573584905660378
3400937667777,"TIMOLOL SANDOZ 0,25 P. 100 1 FLACON DE 3 ML, COLLY",40.18,26,1.5453846153846154
3400926712471,PERINDOPRIL ARL 2 MG CPR 30,40.220000000000006,12,3.351666666666667
3400936855182,PAROXETINE ARW 20MG CPR 14,40.59,22,1.8450000000000002
3400934176579,OXYBUTYNINE CRISTERS 5 MG CPR 0,40.65,18,2.2583333333333333
3400938871913,"WYTENS 2,5MG/6,25MG CPR 30",40.68,13,3.129230769230769
3400921975673,"LOSARTAN HCTZ ARW 100/12,5MG CPR 30",40.77,14,2.9121428571428574
3400937848701,FELODIPINE ZEN LP 5MG CPR 28,40.839999999999996,13,3.1415384615384614
3400938873054,"WYTENS 10MG/6,25MG CPR 30",40.89,12,3.4075
3400936254107,PROCAINE LAV 100 MG/5 ML SOL INJ AB 10,40.98,30,1.3659999999999999
